round,size,time
0,20,0:00:07.872286
0,15,0:00:00.127254
0,10,0:00:00.002372
0,9,0:00:00.001121
0,8,0:00:00.000496
0,7,0:00:00.000212
0,6,0:00:00.000096
0,5,0:00:00.000043
0,4,0:00:00.000019
0,3,0:00:00.000010
0,2,0:00:00.000005
1,20,0:00:07.991849
1,15,0:00:00.129609
1,10,0:00:00.002672
1,9,0:00:00.001147
1,8,0:00:00.000523
1,7,0:00:00.000225
1,6,0:00:00.000102
1,5,0:00:00.000047
1,4,0:00:00.000021
1,3,0:00:00.000010
1,2,0:00:00.000006
2,20,0:00:08.008011
2,15,0:00:00.148511
2,10,0:00:00.002513
2,9,0:00:00.001157
2,8,0:00:00.001100
2,7,0:00:00.000254
2,6,0:00:00.000110
2,5,0:00:00.000049
2,4,0:00:00.000023
2,3,0:00:00.000011
2,2,0:00:00.000006
3,20,0:00:08.073663
3,15,0:00:00.137357
3,10,0:00:00.002579
3,9,0:00:00.001153
3,8,0:00:00.000666
3,7,0:00:00.000306
3,6,0:00:00.000122
3,5,0:00:00.000048
3,4,0:00:00.000022
3,3,0:00:00.000010
3,2,0:00:00.000006
4,20,0:00:08.085521
4,15,0:00:00.184300
4,10,0:00:00.002881
4,9,0:00:00.001240
4,8,0:00:00.000583
4,7,0:00:00.000246
4,6,0:00:00.000113
4,5,0:00:00.000051
4,4,0:00:00.000023
4,3,0:00:00.000011
4,2,0:00:00.000007
5,20,0:00:08.235042
5,15,0:00:00.147021
5,10,0:00:00.002989
5,9,0:00:00.001305
5,8,0:00:00.000595
5,7,0:00:00.000253
5,6,0:00:00.000116
5,5,0:00:00.000053
5,4,0:00:00.000025
5,3,0:00:00.000030
5,2,0:00:00.000017
6,20,0:00:09.417728
6,15,0:00:00.129070
6,10,0:00:00.002655
6,9,0:00:00.001085
6,8,0:00:00.000491
6,7,0:00:00.000208
6,6,0:00:00.000095
6,5,0:00:00.000044
6,4,0:00:00.000020
6,3,0:00:00.000009
6,2,0:00:00.000005
7,20,0:00:08.380314
7,15,0:00:00.130025
7,10,0:00:00.002607
7,9,0:00:00.001171
7,8,0:00:00.000536
7,7,0:00:00.000228
7,6,0:00:00.000105
7,5,0:00:00.000047
7,4,0:00:00.000021
7,3,0:00:00.000011
7,2,0:00:00.000005
8,20,0:00:09.978262
8,15,0:00:00.199189
8,10,0:00:00.003499
8,9,0:00:00.001686
8,8,0:00:00.001418
8,7,0:00:00.000610
8,6,0:00:00.000284
8,5,0:00:00.000122
8,4,0:00:00.000074
8,3,0:00:00.000028
8,2,0:00:00.000014
9,20,0:00:08.671056
9,15,0:00:00.153103
9,10,0:00:00.002481
9,9,0:00:00.001124
9,8,0:00:00.000530
9,7,0:00:00.000221
9,6,0:00:00.000101
9,5,0:00:00.000046
9,4,0:00:00.000021
9,3,0:00:00.000010
9,2,0:00:00.000006
10,20,0:00:08.495062
10,15,0:00:00.140689
10,10,0:00:00.002835
10,9,0:00:00.001330
10,8,0:00:00.000622
10,7,0:00:00.000262
10,6,0:00:00.000119
10,5,0:00:00.000053
10,4,0:00:00.000024
10,3,0:00:00.000011
10,2,0:00:00.000006
11,20,0:00:08.094917
11,15,0:00:00.145606
11,10,0:00:00.003008
11,9,0:00:00.001324
11,8,0:00:00.000614
11,7,0:00:00.000263
11,6,0:00:00.000118
11,5,0:00:00.000058
11,4,0:00:00.000025
11,3,0:00:00.000012
11,2,0:00:00.000006
12,20,0:00:08.784773
12,15,0:00:00.140197
12,10,0:00:00.002845
12,9,0:00:00.001280
12,8,0:00:00.000593
12,7,0:00:00.000254
12,6,0:00:00.000115
12,5,0:00:00.000052
12,4,0:00:00.000024
12,3,0:00:00.000011
12,2,0:00:00.000006
13,20,0:00:07.290037
13,15,0:00:00.158030
13,10,0:00:00.002131
13,9,0:00:00.001000
13,8,0:00:00.000460
13,7,0:00:00.000211
13,6,0:00:00.000206
13,5,0:00:00.000044
13,4,0:00:00.000020
13,3,0:00:00.000009
13,2,0:00:00.000005
14,20,0:00:07.763692
14,15,0:00:00.135156
14,10,0:00:00.002750
14,9,0:00:00.001278
14,8,0:00:00.000569
14,7,0:00:00.000244
14,6,0:00:00.000112
14,5,0:00:00.000051
14,4,0:00:00.000023
14,3,0:00:00.000011
14,2,0:00:00.000006
15,20,0:00:07.838203
15,15,0:00:00.153229
15,10,0:00:00.002248
15,9,0:00:00.000990
15,8,0:00:00.000495
15,7,0:00:00.000209
15,6,0:00:00.000095
15,5,0:00:00.000049
15,4,0:00:00.000020
15,3,0:00:00.000009
15,2,0:00:00.000005
16,20,0:00:07.528785
16,15,0:00:00.118830
16,10,0:00:00.002420
16,9,0:00:00.001079
16,8,0:00:00.000488
16,7,0:00:00.000209
16,6,0:00:00.000096
16,5,0:00:00.000044
